"
Alejandro Garcés (UTP-Colombia)  "
"Alexandre Aoki (UFPR, Brasil)"
"Alexeis Fernández Bonilla (INTEC, Rep.Dominicana)"
"Andres Omar Alvarado Martinez (U.Cuenca, Ecuador)"
Anibal Zanini (UBA-Argentina)
"Antoni Sudrià (Toni, Barcelona, España)"
Armando Vitali (UNGS-Argentina)
Batista 
Bernardo Silva (INESCTEC-Portugal)
"Bruno Wanderley França (UFF, Brasil)"
"Camila Gehrke (UFPB, Brasil)"
Carlos Gabriel Lopez (EDESTE-Argentina)
Carlos Moreira (INESCTEC-Portugal) Portugal)
Ciceli Martins (CEMIG-Brasil)
"Coordenação Pós-Graduação (UNILA, Brasil)"
Cristian de Angelo (GEA_CONICET-Argentina)
Danny Mauricio López (UniValle-Colombia)
Denizar Cruz Martins (UFSC-BR)
"Desylen Mariano Hernández (INTEC, Rep.Dominicana)"
"Diego Edison Sánchez Ochoa (IPSE, Colombia)"
"Diego Elisei (CREXEL, Argentina)"
Diego Feroldi (CIFASIS-Argentina)
"Diego Giacosa (UTE, Uruguay)"
Diego Rivelino Espinoza Trejo (UASLP-México)
Edson H. Watanabe (UFRJ-Brasil)
Eduardo Francisco Caicedo Bravo (UniValle-Colombia)
"Eduardo Gomez (UniValle, Colombia)"
Eduardo Prieto Araujo (UPC-ES)
Emmanuel Sangoi (UTN-FRSF)
Enrique Ciro Quispe Oqueña (UAO-Colombia)
"Esteban Van Dam -(500rpm, Argentina)"
Estefani Mendoza Guerra (UNI-Peru)
"Fabiana Colombelli (UNILA, Brasil)"
Facundo Aguilera (UNRC CONICET-Argentina)
Federico Serra (UNSL-Argentina)
"Fernanda Guglialmelli (EDET, Tucuman, Secretaria Horacio Nadra, ADEERA)"
Fernando Botterón (UNaM-Argentina)
"Félix Santos García (UCLV, Cuba)"
Germán Oggier (GEA_CONICET-Argentina)
"Gonzalo Gaston Gomez (UTN-FRRo, Argentina)"
Gonzalo Lopez (UTE-Uruguay)
"Gonzalo Martín Jiménez (CEDER-CIEMAT, España)"
Gonzalo Rodriguez (SyR Energia-Argentina)
Guilherme Rolim (UFRJ-Brasil)
Guillermo Catuogno (UNSL-Argentina)
"Guillermo Guevara (BISENERGIA, AR)"
Guillermo Jimenez Estevez (UniAndes-Colombia)
Guillermo Pleitavino (500RPM)
"Gustavo Adolfo Ronceros Rivas (UNILA, Brasil)"
Gustavo Gimenez Placer (UNGS-Argentina)
"Gustavo Luis Airasca (UNR, Argentina)"
"Gustavo Martinez (BisEnergia, AR)"
Gustavo Ramos Lopez (UniAndes-Colombia)
"Hugo Elisei (CREXEL, Argentina)"
"Ivan Andrade (UMag, Chile)"
"J. Iam (UNILA, Brasil)"
"Jairo Benavides Martínez (UAO, Colombia)"
Javier Martín Cabello (UNR-Argentina)
"Javier Perez Ramirez (ITde Sonora, Mexico)"
Johnny Posada Contreras (UAO-Colombia)
"Jorge Andrés Niño (INTI, Argentina)"
Jorge Caicedo (UFRJ-Brasil)
"Jorge Javier Gimenez Ledesma (UNILA, Brasil)"
Jorge Luis Mírez Tarrillo (UNI-Perú)
Jorge Vega (UTN-FRSF-Argentina)
Jose Alex Restrepo (USB-Venezuela)
"Jose Angel Pecina Sanchez (UASLP, México)"
"Jose Antenor Pomilio (UNICAMP, Brasil)"
"Jose Salgado (UNILA, Brasil)"
Jose Silva (LACTEC-Brasil)
"José Antonio Beristáin Jiménez (ITde Sonora, Mexico)"
"José Fernando Jimenez Vargas (UniAndes, Colombia)"
José Gomes de Matos (UFMA-Brasil)
José Manuel Aller Castro (USB-Venezuela)
José Manuel Da Peña (EDESTE-Argentina)
José Miguel Ramírez Scarpeta (UniValle-Colombia)
João Américo Vilela (UFPR-Brasil)
"João Inácio Ota (UNICAMP, Brasil)"
Juan David Molina Castro (CI-Colombia)
"Juan Leonardo Eespinoza Abad (U.Cuenca, Ecuador)"
"Juan Tapia (USM, Chile)"
"Juliana Ulian (GHMS, Brasil)"
"Julio Cesar Viola (UPS, Ecuador)"
"Kati Sidwall (RTDS, Canada)"
"Katya Regina de Freitas (UNILA, Brasil)"
"León Lesyani (UCLV, Cuba)"
Lucio Medeiros (LACTEC-Brasil)
"Luis Cataldo (UTE, Uruguay)"
"Luis Gerardo Gonzalez Morales (U.Cuenca, Ecuador)"
Luis Hernandez Callejo (UValladolid-España)
Luis Silva (UNRaf-Argentina)
Luiz Antonio DeSouza Ribeiro (UFMA-Brasil)
Luiz Carlos (UNICAMP-Brasil)
"Manuel Perez Larraburu (500rpm, Argentina)"
"Marcela da Trindade (OPAL-RT, Brasil)"
"Marcela Ribeiro Gonçalves da Trindade (OPAL-RT, Brasil)"
Marcelo Lobo Heldwein (UFSC-Brasil)
"Marcia Regina Becker -(UNILA, Brasil)"
"Marcio Goes (UNILA, Brasil)"
"Marcos Politi (INTI, Argentina)"
"Mario Pierantonelli (UNVM, Argentina)"
"Marketing (GHMS, Brasil)"
María Isabel Carvajal (UniValle-Colombia)
"Matias Diaz (USACH, Chile)"
